Object_name,Food_Type,FNDDS Food Code,Weight (g),Energy (Kcal),Protein (g),Fat (g),Carbs (g),Volume
Almond(bowl),almond_1,42100100,187.0,1118.26,39.19520000000001,98.24980000000001,39.28870000000001,341.29
Almond(bowl),almond_3,42101110,264.0,1586.64,53.14,141.05,53.27,484.24
Almond(bowl),almond_4,42100100,121.0,723.57,25.3613,63.5725,25.4218,218.56
Almond(bowl),new_almond_bowl_1,42101130,228.0,1383.96,46.35239999999999,123.0288,46.46639999999999,577.95
Almond(bowl),new_almond_bowl_2,42101130,176.0,1068.32,35.7808,94.9696,35.8688,403.62
Almond(bowl),new_almond_bowl_3,42101120,244.0,1473.76,49.3612,131.028,49.4832,444.24
Almond(bowl),new_almond_bowl_4,42101120,218.0,1316.72,44.10140000000001,117.066,44.21040000000001,340.77
Almonds,almond_1,42101350,3.0,17.37,0.4233,1.3602,1.0752,3.4
Almonds,Almond_2,42100100,1.0,5.98,0.2096,0.5254,0.2101,0.88
Almonds,Almond_3,42100100,1.0,5.98,0.2096,0.5254,0.2101,0.89
Almonds,Almond_5,42100100,1.0,5.98,0.2096,0.5254,0.2101,0.77
Almonds,new_almonds_1,42100100,13.0,77.74000000000001,2.7248,6.8302,2.731300000000001,8.88
Almonds,new_almonds_2,42100100,2.0,11.96,0.4192,1.0508,0.4202,1.72
Almonds,new_almonds_3,42101000,4.0,23.16,0.846,1.9972,0.8620000000000001,3.69
Almonds,new_almonds_4,42100100,3.0,17.94,0.6288,1.5762,0.6303,2.02
Apple,apple_1,63101000,190.0,115.9,0.323,0.285,28.12,243.52
Apple,apple_2,63101000,195.0,118.95,0.3315,0.2925,28.86,234.01
Apple,apple_3,63101000,205.0,125.05,0.3485,0.3074999999999999,30.34,240.84
Apple,apple_4,63101000,234.0,142.74,0.3978,0.351,34.632,280.55
Apple,apple_5,63101000,176.0,107.36000000000001,0.2992,0.264,26.048000000000005,198.51
Apple,apple_6,63101000,222.0,135.42,0.3774000000000001,0.333,32.856,261.42
Apple,apple_7,63101000,186.0,113.46,0.3162,0.279,27.528,221.73
Applesauce,sauce1,63101110,133.0,90.44,0.2128,0.2261,23.2617,135.07
Applesauce,new_applesauce_1,63101120,124.0,52.08,0.2108,0.124,13.9748,112.07
Applesauce,new_applesauce_2,63101120,340.0,142.8,0.5780000000000001,0.34,38.318,362.8
Applesauce,new_applesauce_3,63101110,94.0,63.91999999999999,0.1504,0.1598,16.4406,100.82
