model_label,scale
id_1_salad_chicken_strip_7g,11.56466937
id_2_salad_chicken_strip_9g,10.65809374
id_3_salad_chicken_strip_10g,11.93543211
id_4_salad_chicken_strip_12g,11.9566538
id_5_salad_chicken_strip_15g,11.33679281
id_6_salad_chicken_strip_18g,12.2259003
id_7_salad_chicken_strip_31g,13.1607747
id_8_nature_valley_granola_bar_1g,14.27269676
id_9_nature_valley_granola_bar_13g,15.28047402
id_10_nature_valley_granola_bar_18g,15.76364473
id_11_red_apple_145g,88.95252575
id_12_carrot_9g,89.0754283
id_13_salad_beef_strip_1g,7.280513536
id_14_salad_beef_strip_7g,12.69494086
id_15_salad_beef_strip_9g,97.04882601
id_16_salad_beef_strip_10g,11.09317373
id_17_salad_beef_strip_12g,12.06667959
id_18_salad_beef_strip_13g,99.00412575
id_19_cucumber_piece_10g,15.42658292
id_20_cucumber_piece_46g,75.88187014
id_21_chicken_wing_27g,64.73787225
id_22_half_bread_loaf_51g,25.80109314
id_23_captain_crunch_granola_bar_27g,22.32011351
id_24_near_whole_chicken_680g,24.0424502345
id_25_chicken_breast_128g,23.991189701
id_26_chicken_leg_133g,23.744938088
id_27_chicken_leg_77g,25.783943292
id_28_chicken_breast_97g,24.351501998
id_29_meatloaf_678g,21.76403754
id_30_meatloaf_338g,22.5856574
id_31_meatloaf_161g,23.52948627
id_32_meatloaf_86g,23.8081976
id_33_asian_pear_217g,120.3777045
id_34_costco_egg_54g,11.76604047
id_35_red_yellow_apple_84g,19.55322703
id_36_costco_salad_sushi_roll_1_30g,12.48325884
id_37_costco_cucumber_sushi_roll_1_16g,16.3710908
id_38_costco_shrimp_sushi_roll_1_31g,11.95425244
id_39_costco_california_sushi_roll_1_27g,11.30029893
id_40_costco_shrimp_sushi_roll_2_35g,15.41732947
id_41_costco_salad_sushi_roll_2_28g,14.48750547
id_42_costco_california_sushi_roll_2_27g,13.70281552
id_43_costco_california_sushi_roll_3_28g,10.74502448
id_44_costco_california_sushi_roll_4_27g,11.53286666
id_45_costco_california_sushi_roll_5_24g,11.59357882
id_46_costco_salad_sushi_roll_3_29g,10.42543716
id_47_costco_salad_sushi_roll_4_30g,10.19495497
id_48_costco_salad_sushi_roll_5_31g,10.60549357
id_49_costco_shrimp_sushi_roll_3_33g,10.63212902
id_50_costco_salad_sushi_roll_6_31g,11.00031536
id_51_costco_shrimp_sushi_roll_4_28g,10.53153768
id_52_costco_tuna_rice_ball_37g,10.29456518
id_53_meatloaf_345g,19.55322703
id_54_meatloaf_171g,19.55322703
id_55_hamburger_695g,19.13824208
id_56_chicken_sandwich_456g,19.13824208
id_57_plain_toast_43g,16.21765946
id_58_toast_with_strawberry_jam_66g,15.88474019
id_59_rib_98g,19.44560731
id_60_rib_101g,19.55322703
id_61_rib_88g,21.27021208
id_62_lasagna_390g,19.13824208
id_63_meatball_37g,19.55322703
id_64_shrimp_salad_roll_131g,21.6020757165
id_65_shrimp_salad_roll_136g,20.030978988
id_66_half_shrimp_salad_roll_69g,19.32329418
id_67_half_minced_shrimp_36g,19.54219616
id_68_chicken_leg_36g,14.83456511
id_69_chicken_leg_30g,13.78882163
id_70_chicken_leg_31g,15.39531521
id_71_chicken_leg_40g,16.97043098
id_72_chicken_leg_32g,15.67162739
id_73_chicken_leg_25g,15.10017421
id_74_crispy_pork_rib_36g,12.61502038
id_75_crispy_pork_rib_27g,18.46394111
id_76_crispy_pork_rib_27g,16.60308859
id_77_crispy_pork_rib_24g,18.10075321
id_78_crispy_pork_rib_29g,19.68587465
id_79_crispy_pork_rib_25g,18.53782417
id_80_crispy_pork_rib_21g,17.56178701
id_81_crispy_pork_rib_23g,15.88299506
id_82_pork_feet_49g,18.11124549
id_83_pork_feet_92g,21.51189594
id_84_pork_feet_180g,15.12009149
id_85_pork_feet_116g,13.797829279
id_86_lamb_shank_226g,20.3183813
id_87_veal_kebab_piece_23g,14.95488378
id_88_chicken_wing_34g,11.24111346
id_89_chicken_wing_33g,12.74840542
id_90_chicken_wing_33g,13.71854736
id_91_chicken_wing_33g,14.80310472
id_92_chicken_wing_34g,17.52594128
id_93_chicken_wing_22g,16.87039243
id_94_chicken_wing_27g,17.04267765
id_95_chicken_wing_26g,20.09479112
id_96_corn_81g,18.331915965
id_97_french_fry_6g,14.44085027
id_98_lobster_75g,17.02337742
id_99_corn_60g,16.339669159
id_100_steak_153g,14.74366138
id_101_steak_piece_28g,15.38463087
id_102_steak_piece_13g,10.35632467
id_103_steak_piece_14g,12.67770433
id_104_chocolate_granola_bar_35g,29.66607621
id_105_stack_of_tofu_4pc_96g,21.46218864
