ingr,id,weight(g),cal(kCal),fat(g),carb(g),protein(g)
id-1-salad-chicken-strip-7g,1,7,10.57,0.2219,0,2.1378
id-2-salad-chicken-strip-9g,2,9,13.59,0.2853,0,2.7486
id-3-salad-chicken-strip-10g,3,10,15.1,0.317,0,3.054
id-4-salad-chicken-strip-12g,4,12,18.12,0.3804,0,3.6648
id-5-salad-chicken-strip-15g,5,15,22.65,0.4755,0,4.581
id-6-salad-chicken-strip-18g,6,18,27.18,0.5706,0,5.4972
id-7-salad-chicken-strip-31g,7,31,46.81,0.9827,0,9.4674
id-8-nature-valley-granola-bar-1g,8,1,4.8,0.2151,0.6439,0.0901
id-9-nature-valley-granola-bar-13g,9,13,62.4,2.7963,8.3707,1.1713
id-10-nature-valley-granola-bar-18g,10,18,86.4,3.8718,11.5902,1.6218
id-11-red-apple-145g,11,145,85.55,0.29,20.387,0.3915
id-12-carrot-9g,12,9,3.69,0.0216,0.8622,0.0837
id-13-salad-beef-strip-1g,13,1,2.15,0.083,0,0.3222
id-14-salad-beef-strip-7g,14,7,15.05,0.581,0,2.2554
id-15-salad-beef-strip-9g,15,9,19.35,0.747,0,2.8998
id-16-salad-beef-strip-10g,16,10,21.5,0.83,0,3.222
id-17-salad-beef-strip-12g,17,12,25.8,0.996,0,3.8664
id-18-salad-beef-strip-13g,18,13,27.95,1.079,0,4.1886
id-19-cucumber-piece-10g,19,10,1.6,0.011,0.363,0.065
id-20-cucumber-piece-46g,20,46,7.36,0.0506,1.6698,0.299
id-21-chicken-wing-27g,21,27,83.7,5.4243,3.0213,5.7078
id-22-half-bread-loaf-51g,22,51,133.11,1.3566,25.0971,4.6614
id-23-captain-crunch-granola-bar-27g,23,27,129.6,5.8077,17.3853,2.4327
id-24-near-whole-chicken-680g,24,680,3264,146.268,437.852,61.268
id-25-chicken-breast-128g,25,128,235.52,11.5072,0,30.7584
id-26-chicken-leg-133g,26,133,244.72,11.9567,0,31.9599
id-27-chicken-leg-77g,27,77,141.68,6.9223,0,18.5031
id-28-chicken-breast-97g,28,97,178.48,8.7203,0,23.3091
id-29-meatloaf-678g,29,678,1579.74,97.3608,0,175.8054
id-30-meatloaf-338g,30,338,787.54,48.5368,0,87.6434
id-31-meatloaf-161g,31,161,375.13,23.1196,0,41.7473
id-32-meatloaf-86g,32,86,200.38,12.3496,0,22.2998
id-33-asian-pear-217g,33,217,91.14,0.4991,23.1105,1.085
id-34-costco-egg-54g,34,54,25.92,0,0.6372,5.3946
id-35-red-yellow-apple-84g,35,84,47.88,0.126,11.424,0.2352
id-36-costco-salad-sushi-roll-1-30g,36,30,35.1,0.069,7.722,0.657
id-37-costco-cucumber-sushi-roll-1-16g,37,16,18.72,0.0368,4.1184,0.3504
id-38-costco-shrimp-sushi-roll-1-31g,38,31,49.6,0.1457,10.3509,1.4725
id-39-costco-california-sushi-roll-1-27g,39,27,43.2,0.1269,9.0153,1.2825
id-40-costco-shrimp-sushi-roll-2-35g,40,35,56,0.1645,11.6865,1.6625
id-41-costco-salad-sushi-roll-2-28g,41,28,32.76,0.0644,7.2072,0.6132
id-42-costco-california-sushi-roll-2-27g,42,27,43.2,0.1269,9.0153,1.2825
id-43-costco-california-sushi-roll-3-28g,43,28,44.8,0.1316,9.3492,1.33
id-44-costco-california-sushi-roll-4-27g,44,27,43.2,0.1269,9.0153,1.2825
id-45-costco-california-sushi-roll-5-24g,45,24,38.4,0.1128,8.0136,1.14
id-46-costco-salad-sushi-roll-3-29g,46,29,33.93,0.0667,7.4646,0.6351
id-47-costco-salad-sushi-roll-4-30g,47,30,35.1,0.069,7.722,0.657
id-48-costco-salad-sushi-roll-5-31g,48,31,36.27,0.0713,7.9794,0.6789
id-49-costco-shrimp-sushi-roll-3-33g,49,33,52.8,0.1551,11.0187,1.5675
id-50-costco-salad-sushi-roll-6-31g,50,31,36.27,0.0713,7.9794,0.6789
id-51-costco-shrimp-sushi-roll-4-28g,51,28,44.8,0.1316,9.3492,1.33
id-52-costco-tuna-rice-ball-37g,52,37,59.2,0.1739,12.3543,1.7575
id-53-meatloaf-345g,53,345,803.85,49.542,0,89.4585
id-54-meatloaf-171g,54,171,398.43,24.5556,0,44.3403
id-55-hamburger-695g,55,695,1827.85,70.751,205.5115,92.435
id-56-chicken-sandwich-456g,56,456,1258.56,61.9704,124.944,49.8864
id-57-plain-toast-43g,57,43,123.84,1.2599,23.3404,4.3344
id-58-toast-with-strawberry-jam-66g,58,66,123.84,1.2599,23.3404,4.3344
id-59-rib-98g,59,98,243.04,13.3378,0,29.0374
id-60-rib-101g,60,101,250.48,13.7461,0,29.9263
id-61-rib-88g,61,88,218.24,11.9768,0,26.0744
id-62-lasagna-390g,62,390,507,20.787,53.976,25.506
id-63-meatball-37g,63,37,59.2,3.2634,4.0219,3.219
id-64-shrimp-salad-roll-131g,64,131,58.95,1.3755,3.668,8.0565
id-65-shrimp-salad-roll-136g,65,136,61.2,1.428,3.808,8.364
id-66-half-shrimp-salad-roll-69g,66,69,31.05,0.7245,1.932,4.2435
id-67-half-minced-shrimp-36g,67,36,87.12,4.4208,4.1292,7.7004
id-68-chicken-leg-36g,68,36,91.44,5.1948,0.9,9.6624
id-69-chicken-leg-30g,69,30,76.2,4.329,0.75,8.052
id-70-chicken-leg-31g,70,31,78.74,4.4733,0.775,8.3204
id-71-chicken-leg-40g,71,40,101.6,5.772,1,10.736
id-72-chicken-leg-32g,72,32,81.28,4.6176,0.8,8.5888
id-73-chicken-leg-25g,73,25,63.5,3.6075,0.625,6.71
id-74-crispy-pork-rib-36g,74,36,80.64,4.248,0,9.9648
id-75-crispy-pork-rib-27g,75,27,60.48,3.186,0,7.4736
id-76-crispy-pork-rib-27g,76,27,60.48,3.186,0,7.4736
id-77-crispy-pork-rib-24g,77,24,53.76,2.832,0,6.6432
id-78-crispy-pork-rib-29g,78,29,64.96,3.422,0,8.0272
id-79-crispy-pork-rib-25g,79,25,56,2.95,0,6.92
id-80-crispy-pork-rib-21g,80,21,47.04,2.478,0,5.8128
id-81-crispy-pork-rib-23g,81,23,51.52,2.714,0,6.3664
id-82-pork-feet-49g,82,49,116.62,7.8645,0,10.7506
id-83-pork-feet-92g,83,92,218.96,14.766,0,20.1848
id-84-pork-feet-180g,84,180,428.4,28.89,0,39.492
id-85-pork-feet-116g,85,116,276.08,18.618,0,25.4504
